"","keyid","Year","aff"
"702",708,2018,"Myanmar"
"703",709,1996,"Thailand"
"704",710,2008,"Thailand,Nepal"
"705",711,2000,"Thailand"
"706",712,2005,"Thailand,Nepal"
"707",713,2018,"Nepal,Korea,Nepal,Korea"
"708",714,2000,"Bhutan,Switzerland,Philippines"
"709",715,2017,"Bhutan,States,Australia,Australia,Bhutan"
"710",716,2015,"France,France,France,France,France,Canada,France,France,France,France,Italy,States,France,Nam,Nepal,Nepal,France,Senegal,Senegal,Mexico,Mexico,France"
"711",717,2018,"Australia,India,States,States,States"
"712",718,2016,"China,China,Canada,China,China"
"713",719,2019,"China,China,China"
"714",720,2012,"China,China"
"715",721,2010,"Bangladesh,India,India"
"716",722,2019,"Myanmar"
"717",723,2014,"India,India,India"
"718",724,2010,"India,India"
"719",725,2004,"Nepal,Kingdom"
"720",726,2017,"States,States"
"721",727,2018,"Pakistan"
"722",728,2015,"States"
"723",729,2017,"Bhutan,Bhutan,Bhutan,Australia"
"724",730,2001,"Nepal"
